Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1599793419,192.168.86.90,56494,162.222.42.179,4287,6,6229,260,5,5
1599793419,192.168.86.90,56498,54.149.94.178,443,6,52,619,1,1
1599793420,192.168.86.90,56498,54.149.94.178,443,6,52,804,1,1
1599793420,192.168.86.1,53,192.168.86.90,52582,17,176,61,1,1
1599793420,192.168.86.90,56532,17.253.1.201,443,6,1739,8507,16,11
1599793421,192.168.86.90,56498,54.149.94.178,443,6,52,745,1,1
1599793421,192.168.86.90,56494,162.222.42.179,4287,6,6229,260,5,5
1599793422,192.168.86.90,56498,54.149.94.178,443,6,104,1511,2,2
1599793422,192.168.86.90,56532,17.253.1.201,443,6,270,232,4,4
1599793423,192.168.86.90,56509,142.250.68.10,443,6,40,52,1,1
1599793423,192.168.86.90,56494,162.222.42.179,4287,6,6277,260,5,5
1599793423,192.168.86.90,56498,54.149.94.178,443,6,52,822,1,1
1599793424,192.168.86.90,56498,54.149.94.178,443,6,212,911,3,2
1599793425,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599793425,192.168.86.90,56494,162.222.42.179,4287,6,2697,104,2,2
1599793426,192.168.86.90,56499,54.149.94.178,443,6,160,108,2,1
1599793426,192.168.86.90,56498,54.149.94.178,443,6,52,767,1,1
1599793427,192.168.86.90,56494,162.222.42.179,4287,6,6245,260,5,5
1599793427,192.168.86.90,56498,54.149.94.178,443,6,52,750,1,1
1599793427,192.168.86.90,56500,54.149.94.178,443,6,160,108,2,1
1599793428,192.168.86.90,56498,54.149.94.178,443,6,52,755,1,1
1599793429,192.168.86.90,56494,162.222.42.179,4287,6,2649,104,2,2
1599793429,192.168.86.90,56498,54.149.94.178,443,6,52,654,1,1
1599793430,192.168.86.90,56498,54.149.94.178,443,6,52,752,1,1
1599793431,192.168.86.90,56498,54.149.94.178,443,6,162,803,2,2
1599793431,192.168.86.84,61243,239.255.255.250,1900,17,203,0,1,0
1599793431,192.168.86.90,56500,54.149.94.178,443,6,110,52,1,1
1599793431,192.168.86.90,56499,54.149.94.178,443,6,110,52,1,1
1599793432,192.168.86.1,53,192.168.86.90,52848,17,109,93,1,1
1599793432,192.168.86.90,56533,52.154.152.135,443,6,2090,8681,15,13
1599793432,192.168.86.90,56498,54.149.94.178,443,6,104,1511,2,2
1599793432,192.168.86.90,56493,52.33.134.215,443,6,40,52,1,1
1599793432,192.168.86.84,61243,239.255.255.250,1900,17,203,0,1,0
1599793432,192.168.86.90,56494,162.222.42.179,4287,6,6261,0,5,0
1599793433,192.168.86.90,56494,162.222.42.179,4287,6,0,260,0,5
1599793433,192.168.86.84,61243,239.255.255.250,1900,17,203,0,1,0
1599793434,192.168.86.90,56498,54.149.94.178,443,6,160,160,2,2
1599793434,192.168.86.90,56494,162.222.42.179,4287,6,9789,364,7,7
1599793434,192.168.86.84,61243,239.255.255.250,1900,17,203,0,1,0
1599793434,192.168.86.90,56505,45.57.100.137,443,6,1018,0,1,0
1599793435,192.168.86.90,56506,45.57.100.137,443,6,3500,274763,30,184
1599793435,192.168.86.90,56504,45.57.100.137,443,6,3188,186058,24,125
1599793435,192.168.86.90,56505,45.57.100.137,443,6,4548,419005,50,282
1599793435,192.168.86.90,56498,54.149.94.178,443,6,104,1590,2,2
1599793436,192.168.86.90,56498,54.149.94.178,443,6,52,644,1,1
1599793436,192.168.86.90,56499,54.149.94.178,443,6,160,160,2,2
1599793437,192.168.86.90,56500,54.149.94.178,443,6,160,160,2,2
1599793437,192.168.86.90,56498,54.149.94.178,443,6,52,631,1,1
1599793438,192.168.86.90,56494,162.222.42.179,4287,6,188260,3900,139,75
1599793441,192.168.86.90,56498,54.149.94.178,443,6,52,643,1,1
1599793442,192.168.86.90,56498,54.149.94.178,443,6,312,2485,6,6
1599793442,192.168.86.90,56500,54.149.94.178,443,6,260,1235,5,5
1599793444,192.168.86.1,53,192.168.86.90,52718,17,86,86,1,1
1599793444,192.168.86.1,53,192.168.86.90,58808,17,87,87,1,1
1599793444,192.168.86.1,53,192.168.86.90,49406,17,87,87,1,1
1599793444,192.168.86.1,53,192.168.86.90,55341,17,64,64,1,1
1599793444,192.168.86.1,53,192.168.86.90,53720,17,65,65,1,1
1599793444,192.168.86.1,53,192.168.86.90,62927,17,65,65,1,1
1599793444,192.168.86.90,56500,54.149.94.178,443,6,156,3838,3,4
1599793444,192.168.86.90,56473,74.125.195.189,443,6,650,384,5,5
1599793444,192.168.86.90,56498,54.149.94.178,443,6,368,3981,6,6
1599793445,192.168.86.90,56473,74.125.195.189,443,6,785,897,7,7
1599793446,192.168.86.90,56498,54.149.94.178,443,6,104,1285,2,2
1599793446,192.168.86.90,56473,74.125.195.189,443,6,104,511,2,2
1599793446,192.168.86.90,56499,54.149.94.178,443,6,160,108,2,1
1599793447,192.168.86.90,56493,52.33.134.215,443,6,12394,5244,12,8
1599793447,192.168.86.90,56498,54.149.94.178,443,6,104,1269,2,2
1599793447,192.168.86.90,56500,54.149.94.178,443,6,160,108,2,1
1599793448,192.168.86.90,56457,8.37.103.246,443,6,104,1229,2,2
1599793449,192.168.86.90,56498,54.149.94.178,443,6,52,664,1,1
1599793449,192.168.86.90,56447,142.250.101.188,443,6,40,52,1,1
1599793449,192.168.86.90,56450,216.58.194.206,443,6,40,52,1,1
1599793450,192.168.86.90,56505,45.57.100.137,443,6,4848,517504,56,348
1599793450,192.168.86.90,56506,45.57.100.137,443,6,4656,455525,52,306
1599793450,192.168.86.90,56504,45.57.100.137,443,6,1592,69815,12,48
1599793450,192.168.86.90,56498,54.149.94.178,443,6,52,627,1,1
1599793451,192.168.86.90,56498,54.149.94.178,443,6,110,52,1,1
1599793451,192.168.86.90,56500,54.149.94.178,443,6,110,52,1,1
1599793451,192.168.86.90,56499,54.149.94.178,443,6,110,52,1,1
1599793454,192.168.86.90,56498,54.149.94.178,443,6,264,1597,4,4
1599793454,192.168.86.1,35156,239.255.255.250,1900,17,5127,0,11,0
1599793455,192.168.86.1,35156,239.255.255.250,1900,17,5127,0,11,0
1599793455,192.168.86.90,56498,54.149.94.178,443,6,312,5383,6,6
1599793455,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599793455,192.168.86.90,56500,54.149.94.178,443,6,208,3836,4,4
